Sequential ID,Traceability ID,Category,Scope,Rule description,HMRC reference,Publication title,Version,Page/paragraph identifier,URL,Last updated,Error code,Acceptance criteria,Verification procedure
1,TDR-R-00001,Field-level requirement,Import declaration,Import H1: DE 1/1 Declaration Type at H level is mandatory; cardinality 1x; format a2.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!6,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 6,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H1.
- 1/1 Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a2.
- Value is drawn from HMRC codelist TradeMovementTypes for this item.","1. Create a representative import declaration payload for H1.
2. Populate or omit 1/1 Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
2,TDR-R-00002,Field-level requirement,Import declaration,Import H2: DE 1/1 Declaration Type at H level is mandatory; cardinality 1x; format a2.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!6,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 6,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H2.
- 1/1 Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a2.
- Value is drawn from HMRC codelist TradeMovementTypes for this item.","1. Create a representative import declaration payload for H2.
2. Populate or omit 1/1 Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
3,TDR-R-00003,Field-level requirement,Import declaration,Import H3: DE 1/1 Declaration Type at H level is mandatory; cardinality 1x; format a2.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!6,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 6,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H3.
- 1/1 Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a2.
- Value is drawn from HMRC codelist TradeMovementTypes for this item.","1. Create a representative import declaration payload for H3.
2. Populate or omit 1/1 Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
4,TDR-R-00004,Field-level requirement,Import declaration,Import H4: DE 1/1 Declaration Type at H level is mandatory; cardinality 1x; format a2.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!6,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 6,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H4.
- 1/1 Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a2.
- Value is drawn from HMRC codelist TradeMovementTypes for this item.","1. Create a representative import declaration payload for H4.
2. Populate or omit 1/1 Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
5,TDR-R-00005,Field-level requirement,Import declaration,Import H5: DE 1/1 Declaration Type at H level is mandatory; cardinality 1x; format a2.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!6,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 6,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H5.
- 1/1 Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a2.
- Value is drawn from HMRC codelist TradeMovementTypes for this item.","1. Create a representative import declaration payload for H5.
2. Populate or omit 1/1 Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
6,TDR-R-00006,Field-level requirement,Import declaration,Import H8: DE 1/1 Declaration Type at H level is mandatory; cardinality 1x; format a2.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!6,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 6,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H8.
- 1/1 Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a2.
- Value is drawn from HMRC codelist TradeMovementTypes for this item.","1. Create a representative import declaration payload for H8.
2. Populate or omit 1/1 Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
7,TDR-R-00007,Field-level requirement,Import declaration,Import I1: DE 1/1 Declaration Type at H level is mandatory; cardinality 1x; format a2.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!6,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 6,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is I1.
- 1/1 Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a2.
- Value is drawn from HMRC codelist TradeMovementTypes for this item.","1. Create a representative import declaration payload for I1.
2. Populate or omit 1/1 Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
8,TDR-R-00008,Field-level requirement,Import declaration,Import I1 (B&E): DE 1/1 Declaration Type at H level is mandatory; cardinality 1x; format a2.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!6,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 6,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is I1 (B&E).
- 1/1 Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a2.
- Value is drawn from HMRC codelist TradeMovementTypes for this item.","1. Create a representative import declaration payload for I1 (B&E).
2. Populate or omit 1/1 Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
9,TDR-R-00009,Field-level requirement,Import declaration,Import C21I: DE 1/1 Declaration Type at H level is mandatory; cardinality 1x; format a2.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!6,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 6,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is C21I.
- 1/1 Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a2.
- Value is drawn from HMRC codelist TradeMovementTypes for this item.","1. Create a representative import declaration payload for C21I.
2. Populate or omit 1/1 Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
10,TDR-R-00010,Field-level requirement,Import declaration,Import C21I EIDR: DE 1/1 Declaration Type at H level is mandatory; cardinality 1x; format a2.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!6,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 6,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is C21I EIDR.
- 1/1 Declaration Type at H level is mandatory.
- Populate XML path Declaration/TypeCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format a2.
- Value is drawn from HMRC codelist TradeMovementTypes for this item.","1. Create a representative import declaration payload for C21I EIDR.
2. Populate or omit 1/1 Declaration Type according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
